Epoch 1: Train loss=2.289, Val loss=1.665
Epoch 2: Train loss=1.502, Val loss=1.389
Epoch 3: Train loss=1.284, Val loss=1.280
Epoch 4: Train loss=1.174, Val loss=1.197
Epoch 5: Train loss=1.097, Val loss=1.155
Epoch 6: Train loss=1.042, Val loss=1.131
Epoch 7: Train loss=1.000, Val loss=1.092
Epoch 8: Train loss=0.960, Val loss=1.078
Epoch 9: Train loss=0.931, Val loss=1.057
Epoch 10: Train loss=0.909, Val loss=1.059
Epoch 11: Train loss=0.884, Val loss=1.046
Epoch 12: Train loss=0.866, Val loss=1.040
Epoch 13: Train loss=0.849, Val loss=1.034
Epoch 14: Train loss=0.834, Val loss=1.005
Epoch 15: Train loss=0.821, Val loss=1.019
Epoch 16: Train loss=0.807, Val loss=1.017
Epoch 17: Train loss=0.795, Val loss=0.994
Epoch 18: Train loss=0.782, Val loss=0.981
Epoch 19: Train loss=0.775, Val loss=0.990
Epoch 20: Train loss=0.766, Val loss=0.985
Epoch 21: Train loss=0.756, Val loss=0.993
Epoch 22: Train loss=0.749, Val loss=0.969
Epoch 23: Train loss=0.741, Val loss=0.970
Epoch 24: Train loss=0.735, Val loss=0.966
Epoch 25: Train loss=0.725, Val loss=0.959
Epoch 26: Train loss=0.718, Val loss=0.962
Epoch 27: Train loss=0.711, Val loss=0.950
Epoch 28: Train loss=0.702, Val loss=0.944
Epoch 29: Train loss=0.692, Val loss=0.946
Epoch 30: Train loss=0.681, Val loss=0.925
Epoch 31: Train loss=0.665, Val loss=0.898
Epoch 32: Train loss=0.649, Val loss=0.892
Epoch 33: Train loss=0.632, Val loss=0.848
Epoch 34: Train loss=0.608, Val loss=0.815
Epoch 35: Train loss=0.588, Val loss=0.796
Epoch 36: Train loss=0.565, Val loss=0.775
Epoch 37: Train loss=0.548, Val loss=0.755
Epoch 38: Train loss=0.532, Val loss=0.747
Epoch 39: Train loss=0.514, Val loss=0.730
Epoch 40: Train loss=0.501, Val loss=0.720
Epoch 41: Train loss=0.485, Val loss=0.710
Epoch 42: Train loss=0.470, Val loss=0.697
Epoch 43: Train loss=0.459, Val loss=0.682
Epoch 44: Train loss=0.445, Val loss=0.674
Epoch 45: Train loss=0.435, Val loss=0.683
Epoch 46: Train loss=0.423, Val loss=0.647
Epoch 47: Train loss=0.413, Val loss=0.654
Epoch 48: Train loss=0.405, Val loss=0.647
Epoch 49: Train loss=0.395, Val loss=0.650
Epoch 50: Train loss=0.385, Val loss=0.646
Epoch 51: Train loss=0.378, Val loss=0.642
Epoch 52: Train loss=0.370, Val loss=0.634
Epoch 53: Train loss=0.361, Val loss=0.636
Epoch 54: Train loss=0.353, Val loss=0.623
Epoch 55: Train loss=0.347, Val loss=0.625
Epoch 56: Train loss=0.339, Val loss=0.624
Epoch 57: Train loss=0.332, Val loss=0.616
Epoch 58: Train loss=0.324, Val loss=0.614
Epoch 59: Train loss=0.319, Val loss=0.616
Epoch 60: Train loss=0.311, Val loss=0.615
Epoch 61: Train loss=0.307, Val loss=0.605
Epoch 62: Train loss=0.300, Val loss=0.608
Epoch 63: Train loss=0.293, Val loss=0.620
Epoch 64: Train loss=0.288, Val loss=0.600
Epoch 65: Train loss=0.282, Val loss=0.608
Epoch 66: Train loss=0.278, Val loss=0.600
Epoch 67: Train loss=0.273, Val loss=0.595
Epoch 68: Train loss=0.269, Val loss=0.617
Epoch 69: Train loss=0.263, Val loss=0.609
Epoch 70: Train loss=0.259, Val loss=0.598
Epoch 71: Train loss=0.254, Val loss=0.599
